on x=-9..45,y=-15..37,z=-2..46
on x=-48..2,y=-11..37,z=3..48
on x=-47..4,y=-47..-3,z=-12..34
on x=-24..29,y=-12..40,z=-20..29
on x=-48..3,y=-38..16,z=-22..31
on x=-35..13,y=-10..43,z=-11..42
on x=-4..47,y=1..47,z=-26..18
on x=-49..1,y=-29..22,z=-44..2
on x=-12..33,y=-14..38,z=-9..35
on x=-44..8,y=0..46,z=-28..20
off x=-44..-31,y=-37..-21,z=35..49
on x=-2..42,y=-49..-4,z=-10..39
off x=-26..-17,y=-38..-29,z=-32..-18
on x=-41..10,y=-1..49,z=-22..24
off x=-49..-35,y=-26..-15,z=11..24
on x=-5..47,y=-34..10,z=-3..42
off x=-16..-7,y=-9..0,z=-4..12
on x=-45..1,y=-25..22,z=-2..49
off x=21..40,y=30..44,z=-16..1
on x=-11..37,y=-44..1,z=-20..25
on x=7379..15679,y=62885..66145,z=40785..66699
on x=55922..93809,y=1651..21593,z=-29830..-6845
on x=-31566..-20771,y=49570..87512,z=-38744..-20396
on x=4993..41166,y=-27079..-6497,z=-88189..-66473
on x=60741..69319,y=-13925..8370,z=-62720..-33863
on x=34284..42689,y=-71439..-58324,z=22610..47957
on x=8592..42171,y=-65708..-43885,z=-61206..-46568
on x=64371..79931,y=28477..37185,z=13392..20753
on x=-59117..-37612,y=-64167..-37759,z=35921..54572
on x=-14064..20202,y=-90417..-70077,z=25371..40391
on x=-67395..-41025,y=17787..31773,z=-57128..-48199
on x=-70962..-46942,y=19586..45376,z=-54426..-31169
on x=31777..46666,y=-28152..-20207,z=-66876..-55373
on x=13530..27088,y=-90327..-70591,z=-1912..25782
on x=40408..67678,y=38887..66828,z=-30776..-13301
on x=-29414..-16610,y=56466..86239,z=20871..32428
on x=-76113..-67766,y=37613..40645,z=-16702..13708
on x=-53053..-28552,y=57577..78562,z=14326..42575
on x=-58889..-42881,y=16768..21306,z=42955..76041
on x=-73073..-51398,y=46632..48316,z=20149..34615
on x=-66303..-54970,y=-61600..-49802,z=-11768..9094
on x=-53654..-27948,y=9591..45638,z=-71810..-58350
on x=-69622..-52612,y=-45011..-38959,z=24484..44518
on x=3515..15378,y=41121..59682,z=-61133..-55743
on x=-90134..-62577,y=208..23739,z=26851..46343
on x=65530..81406,y=42070..52596,z=-11235..13125
on x=64169..84257,y=-10178..17467,z=-29044..-16366
on x=17446..26654,y=-66194..-47798,z=-42530..-24698
on x=-58456..-32175,y=-57823..-50339,z=35867..54337
on x=47156..63257,y=-36128..-21908,z=33134..41699
on x=-48529..-31263,y=-62437..-39211,z=-56496..-37240
on x=-34149..-14003,y=-79123..-45929,z=-55215..-40418
on x=-84191..-64387,y=-11156..17366,z=31098..34346
on x=-82865..-68797,y=-5798..8421,z=28104..58202
on x=29311..45767,y=-88790..-62482,z=-29612..-214
on x=8842..27908,y=68184..82736,z=-55247..-19216
on x=-42756..-14515,y=74498..84491,z=-20007..4343
on x=-37638..-28150,y=-72221..-45636,z=49412..60164
on x=32841..44894,y=-62963..-55317,z=-44129..-18308
on x=41325..48341,y=14656..22614,z=-63334..-57171
on x=39491..70558,y=48229..67699,z=14708..39318
on x=-16935..-15423,y=72793..82573,z=-9454..8508
on x=28720..40689,y=29779..36750,z=-74342..-54201
on x=65984..88372,y=-3884..15208,z=19130..38834
on x=-85972..-61107,y=-27882..-5274,z=-23592..-4731
on x=-65737..-48051,y=-4370..32823,z=-51562..-27039
on x=53568..75174,y=13164..34585,z=-62900..-49637
on x=43348..67279,y=37890..47849,z=6060..34285
on x=-88633..-60579,y=-40956..-20401,z=-20101..8972
on x=-70097..-44904,y=37603..69889,z=-21021..-5234
on x=-76016..-71353,y=10592..39343,z=5961..25639
