seeds: 280775197 7535297 3229061264 27275209 77896732 178275214 2748861189 424413807 3663093536 130341162 613340959 352550713 1532286286 1115055792 1075412586 241030710 3430371306 138606714 412141395 146351614

seed-to-soil map:
2328878418 2173757269 55676388
1604614185 284259424 18300254
871339571 2660737044 103656521
0 2281891142 53219493
3600371492 4267529956 27437340
1755732868 600174302 280911746
225053611 2335110635 5908609
3686191373 3693094019 157260119
2301308430 2341019244 27569988
2249924082 2817678844 51384348
3843451492 3390401982 116711122
866920588 2368589232 4418983
319632173 0 10243502
2384554806 302559678 74545000
2036644614 2373008215 45489224
480632565 1433058022 386288023
3448897781 4166650940 100879016
2082133838 377104678 167790244
2644445775 2418497439 242239605
1305360177 881086048 292964881
3960162614 3638948449 54145570
385155055 1819346045 95477510
4021970860 3919567265 19798429
3085107497 3850354138 69213127
230962220 195589471 88669953
1261037103 2129434195 44323074
3627808832 3085107497 52096478
329875675 544894922 55279380
1622914439 2229433657 52457485
1675371924 1352697078 80360944
974996092 1914823555 107394862
3549776797 3574405015 50594695
3679905310 3632662386 6286063
1082390954 1174050929 178646149
2459099806 10243502 185345969
160435271 2764393565 53285279
3154320624 3939365694 227285246
53219493 2022218417 107215778
3381605870 3507113104 67291911
4041769289 3137203975 253198007
4014308184 3624999710 7662676
213720550 2875352319 11333061
1598325058 2869063192 6289127

soil-to-fertilizer map:
3389090999 2596751746 608341779
105086589 871525822 220821758
3187814092 3748571797 34038948
1063982526 822144230 49381592
4071580733 3394766608 36570558
1969786851 1283647913 135669504
2338688657 3782610745 100105665
2105456355 1092347580 1733094
1113364118 0 435632229
325908347 1524404006 161994939
2438794322 4084049871 210917425
4108151291 3471527086 26197923
3997432778 2273224151 74147955
3161148447 2395583294 26665645
621898776 435632229 386512001
4134349214 3882716410 46400134
2649711747 3205093525 86087105
4256353957 2384855243 10728051
487903286 1149652423 133995490
0 1419317417 105086589
4218232485 3356645136 38121472
4180749348 2347372106 37483137
2910301659 3497725009 250846788
2735798852 2422248939 23521261
2273224151 3291180630 65464506
3262042960 3957001832 127048039
1548996347 1686398945 420790504
4267082008 3929116544 27885288
2759320113 2445770200 150981546
1008410777 1094080674 55571749
3221853040 3431337166 40189920

fertilizer-to-water map:
2007324874 2683611319 23475372
1313988767 1367341468 459297221
1773285988 1938578086 234038886
257353189 1257656713 109684755
221312488 2981571133 36040701
