x=647, y=567..595
y=175, x=502..524
x=565, y=572..581
x=461, y=179..191
x=618, y=37..44
y=1811, x=608..629
x=628, y=1742..1754
x=657, y=255..259
x=626, y=222..223
x=452, y=969..978
x=544, y=1798..1810
x=629, y=1625..1637
x=589, y=1402..1406
y=1501, x=558..560
y=673, x=524..526
x=625, y=1522..1531
x=491, y=1390..1400
x=491, y=990..994
x=545, y=61..73
x=538, y=283..293
y=907, x=638..640
x=510, y=530..542
x=555, y=1354..1380
x=506, y=323..332
x=623, y=1625..1637
y=899, x=602..605
x=457, y=1301..1307
y=600, x=457..461
x=540, y=439..441
y=989, x=571..589
x=542, y=608..619
x=645, y=435..451
x=474, y=362..373
x=538, y=534..549
y=62, x=482..503
y=1041, x=552..573
x=483, y=550..562
y=436, x=446..508
y=661, x=664..666
x=535, y=609..636
y=1094, x=606..630
x=610, y=1720..1724
x=485, y=1411..1422
x=527, y=1538..1562
x=668, y=611..620
x=633, y=434..451
y=583, x=481..501
x=579, y=1893..1916
x=589, y=1846..1852
x=604, y=808..816
x=487, y=1596..1602
y=562, x=483..524
x=559, y=1549..1553
x=518, y=1666..1674
y=463, x=609..612
x=596, y=929..952
x=500, y=663..677
x=529, y=713..715
y=654, x=556..562
x=545, y=1396..1398
x=514, y=400..418
x=547, y=897..907
x=596, y=235..237
x=446, y=848..872
y=1468, x=609..633
y=771, x=512..516
y=40, x=508..510
x=511, y=594..599
x=512, y=1693..1720
y=1696, x=594..601
y=710, x=565..569
x=572, y=1722..1734
x=553, y=1615..1625
y=880, x=462..470
x=507, y=1042..1045
y=16, x=508..512
x=611, y=1564..1573
x=521, y=78..103
x=540, y=1538..1562
x=644, y=324..340
x=500, y=399..418
y=923, x=617..623
y=1489, x=641..643
x=638, y=905..907
y=486, x=613..617
x=480, y=92..104
y=1491, x=508..510
x=630, y=1650..1663
y=216, x=617..637
x=517, y=610..622
x=554, y=1247..1249
y=191, x=461..479
x=652, y=748..768
y=1012, x=616..620
x=604, y=1478..1480
y=1534, x=617..635
y=1709, x=614..628
y=1911, x=614..635
x=460, y=1660..1670
x=479, y=179..191
x=671, y=141..166
y=1101, x=645..649
x=555, y=105..111
x=573, y=1431..1435
y=1521, x=523..538
y=1262, x=600..626
x=477, y=863..891
x=559, y=1668..1680
x=477, y=162..165
y=1186, x=626..653
x=571, y=986..989
x=566, y=936..947
x=512, y=768..771
x=513, y=1414..1423
x=487, y=870..882
x=622, y=1043..1048
x=489, y=264..276
y=129, x=609..611
y=527, x=663..675
x=636, y=1788..1792
y=1614, x=628..632
y=990, x=523..543
y=1754, x=585..628
x=557, y=822..847
x=575, y=1431..1435
x=566, y=890..910
y=621, x=588..590
x=513, y=1456..1459
y=1150, x=551..581
x=594, y=380..397
y=155, x=574..587
x=528, y=790..800
x=659, y=1392..1402
x=459, y=1166..1181
y=1495, x=508..510
x=643, y=1065..1082
x=501, y=443..453
y=73, x=545..549
x=661, y=1487..1494
y=1428, x=527..538
x=604, y=1033..1053
x=462, y=618..632
x=571, y=1566..1587
y=1537, x=506..520
x=482, y=134..147
x=525, y=1000..1011
x=556, y=956..968
y=637, x=473..527
x=521, y=1900..1903
y=1919, x=669..685
x=541, y=646..658
x=585, y=1882..1892
y=277, x=644..648
y=61, x=453..470
y=1175, x=644..646
x=531, y=940..943
y=103, x=512..521
x=620, y=1717..1730
x=508, y=1015..1026
y=810, x=634..656
y=1106, x=540..570
y=1811, x=567..595
x=554, y=1410..1431
y=57, x=508..510
y=1174, x=480..482
x=674, y=185..204
y=373, x=474..502
y=1126, x=479..481
y=1663, x=604..630
x=515, y=1313..1321
